t,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
4.32000000e-01,2.92132668e+07,2.75188309e+07,2.57413706e+07,2.38820638e+07,2.20625339e+07,2.03951912e+07,1.88453746e+07,1.72699803e+07,1.56125717e+07,1.40014264e+07,1.25694405e+07,1.12147252e+07,9.71919479e+06,8.14745049e+06,6.82015510e+06,5.69850167e+06,4.35845096e+06,2.95040375e+06,1.84985272e+06,6.34010144e+05
4.40000000e-01,2.91564008e+07,2.75048505e+07,2.57535462e+07,2.38986900e+07,2.20709645e+07,2.04021296e+07,1.88689233e+07,1.73161981e+07,1.56619553e+07,1.40270506e+07,1.25698264e+07,1.12163233e+07,9.73822070e+06,8.16564563e+06,6.81689108e+06,5.68483727e+06,4.34773934e+06,2.93281989e+06,1.83156127e+06,6.28690414e+05
4.48000000e-01,2.90784488e+07,2.74651097e+07,2.57400461e+07,2.38949982e+07,2.20656537e+07,2.03985286e+07,1.88812759e+07,1.73501095e+07,1.57001898e+07,1.40440424e+07,1.25632918e+07,1.12121881e+07,9.75386638e+06,8.18311809e+06,6.81316284e+06,5.66898592e+06,4.33430887e+06,2.91354921e+06,1.81245333e+06,6.23192077e+05
4.56000000e-01,2.89800474e+07,2.73998826e+07,2.57009885e+07,2.38712046e+07,2.20469835e+07,2.03847079e+07,1.88823897e+07,1.73713442e+07,1.57270408e+07,1.40527258e+07,1.25505304e+07,1.12026809e+07,9.76571651e+06,8.19900576e+06,6.80838425e+06,5.65104140e+06,4.31882526e+06,2.89343190e+06,1.79308769e+06,6.17632040e+05
4.64000000e-01,2.88616224e+07,2.73095966e+07,2.56367966e+07,2.38277204e+07,2.20153017e+07,2.03608099e+07,1.88720776e+07,1.73795183e+07,1.57423612e+07,1.40535264e+07,1.25323003e+07,1.11881849e+07,9.77334536e+06,8.21241962e+06,6.80194743e+06,5.63109268e+06,4.30195647e+06,2.87330491e+06,1.77401726e+06,6.12125554e+05
4.72000000e-01,2.87234179e+07,2.71948218e+07,2.55481663e+07,2.37651248e+07,2.19709202e+07,2.03268290e+07,1.88500505e+07,1.73742623e+07,1.57460797e+07,1.40469259e+07,1.25093741e+07,1.11690886e+07,9.77635051e+06,8.22250512e+06,6.79326710e+06,5.60921816e+06,4.28431861e+06,2.85393333e+06,1.75574480e+06,6.06777177e+05
4.80000000e-01,2.85655406e+07,2.70562559e+07,2.54360186e+07,2.36841224e+07,2.19141092e+07,2.02826453e+07,1.88159695e+07,1.73552562e+07,1.57381974e+07,1.40334186e+07,1.24824858e+07,1.11457627e+07,9.77437623e+06,8.22849425e+06,6.78182247e+06,5.58548682e+06,4.26643628e+06,2.83595690e+06,1.73868781e+06,6.01673547e+05
4.88000000e-01,2.83880155e+07,2.68947081e+07,2.53014431e+07,2.35854943e+07,2.18450883e+07,2.02280609e+07,1.87695022e+07,1.73222714e+07,1.57187872e+07,1.40134734e+07,1.24522818e+07,1.11185336e+07,9.76712688e+06,8.22974632e+06,6.76719335e+06,5.55996466e+06,4.24871750e+06,2.81985319e+06,1.72315374e+06,5.96878228e+05
4.96000000e-01,2.81908444e+07,2.67110805e+07,2.51456389e+07,2.34700463e+07,2.17640181e+07,2.01628356e+07,1.87103767e+07,1.72752087e+07,1.56879973e+07,1.39875018e+07,1.24192773e+07,1.10876571e+07,9.75437267e+06,8.22577613e+06,6.74908806e+06,5.53272370e+06,4.23144180e+06,2.80591696e+06,1.70932566e+06,5.92428702e+05
5.04000000e-01,2.79740608e+07,2.65063507e+07,2.49698582e+07,2.33385627e+07,2.16709940e+07,2.00867203e+07,1.86384288e+07,1.72141309e+07,1.56460532e+07,1.39558351e+07,1.23838250e+07,1.10532982e+07,9.73594988e+06,8.21627008e+06,6.72736118e+06,5.50385081e+06,4.21475895e+06,2.79425423e+06,1.69725774e+06,5.88335400e+05
